an,nume,nr_beneficiari
2022,CUM SĂ CREŞTEM SĂNĂTOŞI,17530
2022,ABC-UL EMOŢIILOR,18781
2022,NECENZURAT,12638
2022,FRED GOES NET,177
2022,MESAJUL MEU ANTIDROG,4005
2022,EU ŞI COPILUL MEU,1676
2021,CUM SĂ CREŞTEM SĂNĂTOŞI,17530
2021,ABC-UL EMOŢIILOR,18781
2021,NECENZURAT,12638
2021,FRED GOES NET,177
2021,MESAJUL MEU ANTIDROG,4005
2021,EU ŞI COPILUL MEU,1676
2020,CUM SĂ CREŞTEM SĂNĂTOŞI,17530
2020,ABC-UL EMOŢIILOR,18781
2020,NECENZURAT,12638
2020,FRED GOES NET,177
2020,MESAJUL MEU ANTIDROG,4005
2020,EU ŞI COPILUL MEU,1676
2019,CUM SĂ CREŞTEM SĂNĂTOŞI,17530
2019,ABC-UL EMOŢIILOR,18781
2019,NECENZURAT,12638
2019,FRED GOES NET,177
2019,MESAJUL MEU ANTIDROG,4005
2019,EU ŞI COPILUL MEU,1676
2018,CUM SĂ CREŞTEM SĂNĂTOŞI,17530
2018,ABC-UL EMOŢIILOR,18781
2018,NECENZURAT,12638
2018,FRED GOES NET,177
2018,MESAJUL MEU ANTIDROG,4005
2018,EU ŞI COPILUL MEU,1676
